taxon	Menthane monoterpenoids	Gallotannins	Isoquinoline alkaloids	Labdane diterpenoids	Oleanane triterpenoids	Flavanones	Lupane triterpenoids	Acyclic monoterpenoids	Furofuranoid lignans	Anthraquinones and anthrones	Isocoumarins	Neolignans	Iridoids monoterpenoids	Flavonols	Simple indole alkaloids	Kaurane and Phyllocladane diterpenoids	Quinoline alkaloids	Flavones	Pyridine alkaloids	Simple coumarins
Aptandraceae	0.0	0.0	0.0	0.0	0.0909	0.0	0.0455	0.0	0.0	0.0	0.0	0.0455	0.0	0.0455	0.0	0.0	0.0	0.0455	0.0	0.0
Thesiaceae	0.0	0.0333	0.0	0.0	0.2333	0.0	0.2333	0.0	0.0	0.0667	0.0	0.0	0.0	0.0333	0.0	0.0	0.0	0.0	0.0	0.0333
Cervantesiaceae	0.0	0.0	0.1467	0.0	0.0	0.16	0.0	0.0	0.0267	0.0	0.0	0.0	0.0	0.0133	0.0	0.0	0.0	0.0667	0.0	0.0
Viscaceae	0.0162	0.004	0.0162	0.0162	0.0607	0.1093	0.0283	0.0	0.0202	0.0	0.0	0.0	0.0202	0.1255	0.0	0.0	0.0	0.0202	0.0081	0.004
Siparunaceae	0.0	0.0833	0.2083	0.0	0.0	0.0	0.0	0.0417	0.0	0.0	0.0	0.0	0.0	0.0833	0.0	0.0	0.0	0.0	0.0	0.0417
Achariaceae	0.0	0.0	0.0	0.1633	0.0408	0.0102	0.0	0.0102	0.0	0.0	0.0	0.0	0.0	0.0816	0.0	0.0	0.0	0.0612	0.0	0.0
Anastrophyllaceae	0.0	0.0	0.0	0.0	0.0462	0.0	0.0923	0.0	0.0308	0.0	0.0	0.0	0.0	0.0308	0.0	0.0	0.0	0.0154	0.0	0.0769
Nartheciaceae	0.0179	0.0	0.0179	0.0	0.0357	0.0	0.0357	0.0	0.0179	0.0	0.0	0.0	0.0	0.1071	0.0	0.0	0.0	0.125	0.0	0.0
Cystopteridaceae	0.0	0.0187	0.0	0.0	0.0187	0.0	0.0187	0.0	0.0	0.0	0.0	0.0	0.0093	0.1215	0.0	0.0	0.0	0.0187	0.0	0.0
Athyriaceae	0.0	0.0	0.0	0.0	0.069	0.0	0.0345	0.0	0.0	0.0	0.0	0.0345	0.0	0.069	0.0	0.0	0.0	0.0345	0.0	0.0
