family	# chemicals	# family specific chemicals	# med plants	# plants in fam	plants in fam
ncbitaxon:3536	243	59	5	15	['ncbitaxon:122400', 'ncbitaxon:427792', 'ncbitaxon:3541', 'ncbitaxon:1424733', 'ncbitaxon:117585', 'ncbitaxon:169259', 'ncbitaxon:146096', 'ncbitaxon:930814', 'ncbitaxon:363212', 'ncbitaxon:482968', 'ncbitaxon:2067805', 'ncbitaxon:3538', 'ncbitaxon:363198', 'ncbitaxon:427798', 'ncbitaxon:2072244']
ncbitaxon:4037	4652	1487	105	436	['ncbitaxon:692015', 'ncbitaxon:1534653', 'ncbitaxon:477864', 'ncbitaxon:109117', 'ncbitaxon:48042', 'ncbitaxon:571607', 'ncbitaxon:261454', 'ncbitaxon:239650', 'ncbitaxon:62991', 'ncbitaxon:109095', 'ncbitaxon:264540', 'ncbitaxon:804002', 'ncbitaxon:79189', 'ncbitaxon:555417', 'ncbitaxon:489384', 'ncbitaxon:1572681', 'ncbitaxon:371338', 'ncbitaxon:40919', 'ncbitaxon:656356', 'ncbitaxon:178713', 'ncbitaxon:371344', 'ncbitaxon:371368', 'ncbitaxon:1514003', 'ncbitaxon:76119', 'ncbitaxon:46362', 'ncbitaxon:46370', 'ncbitaxon:371366', 'ncbitaxon:1917944', 'ncbitaxon:665711', 'ncbitaxon:109096', 'ncbitaxon:1514015', 'ncbitaxon:200487', 'ncbitaxon:1333700', 'ncbitaxon:357859', 'ncbitaxon:4041', 'ncbitaxon:665671', 'ncbitaxon:804001', 'ncbitaxon:371365', 'ncbitaxon:48026', 'ncbitaxon:359520', 'ncbitaxon:1271632', 'ncbitaxon:1080328', 'ncbitaxon:4045', 'ncbitaxon:460607', 'ncbitaxon:312530', 'ncbitaxon:52452', 'ncbitaxon:48109', 'ncbitaxon:63037', 'ncbitaxon:2689076', 'ncbitaxon:71983', 'ncbitaxon:377492', 'ncbitaxon:203721', 'ncbitaxon:360619', 'ncbitaxon:371364', 'ncbitaxon:1631200', 'ncbitaxon:376874', 'ncbitaxon:1514053', 'ncbitaxon:371379', 'ncbitaxon:359525', 'ncbitaxon:1271630', 'ncbitaxon:49563', 'ncbitaxon:330479', 'ncbitaxon:48048', 'ncbitaxon:371373', 'ncbitaxon:52451', 'ncbitaxon:496686', 'ncbitaxon:692011', 'ncbitaxon:178708', 'ncbitaxon:99507', 'ncbitaxon:54830', 'ncbitaxon:662815', 'ncbitaxon:1585699', 'ncbitaxon:1925582', 'ncbitaxon:344362', 'ncbitaxon:40960', 'ncbitaxon:54833', 'ncbitaxon:1080326', 'ncbitaxon:1585712', 'ncbitaxon:49556', 'ncbitaxon:489391', 'ncbitaxon:49560', 'ncbitaxon:46374', 'ncbitaxon:99520', 'ncbitaxon:48032', 'ncbitaxon:85712', 'ncbitaxon:62992', 'ncbitaxon:489439', 'ncbitaxon:386280', 'ncbitaxon:2497455', 'ncbitaxon:52492', 'ncbitaxon:1000425', 'ncbitaxon:54703', 'ncbitaxon:165353', 'ncbitaxon:199133', 'ncbitaxon:40959', 'ncbitaxon:489372', 'ncbitaxon:79022', 'ncbitaxon:1079708', 'ncbitaxon:357970', 'ncbitaxon:90446', 'ncbitaxon:371352', 'ncbitaxon:488462', 'ncbitaxon:371397', 'ncbitaxon:371351', 'ncbitaxon:1881613', 'ncbitaxon:1514033', 'ncbitaxon:152674', 'ncbitaxon:223586', 'ncbitaxon:40689', 'ncbitaxon:178688', 'ncbitaxon:359505', 'ncbitaxon:49862', 'ncbitaxon:63045', 'ncbitaxon:90444', 'ncbitaxon:496685', 'ncbitaxon:1389444', 'ncbitaxon:489412', 'ncbitaxon:393520', 'ncbitaxon:344358', 'ncbitaxon:49558', 'ncbitaxon:1074461', 'ncbitaxon:359514', 'ncbitaxon:360621', 'ncbitaxon:380072', 'ncbitaxon:371399', 'ncbitaxon:52573', 'ncbitaxon:198841', 'ncbitaxon:357965', 'ncbitaxon:1827452', 'ncbitaxon:691178', 'ncbitaxon:48027', 'ncbitaxon:1920203', 'ncbitaxon:489386', 'ncbitaxon:1533308', 'ncbitaxon:2448751', 'ncbitaxon:52497', 'ncbitaxon:344363', 'ncbitaxon:52477', 'ncbitaxon:48119', 'ncbitaxon:254046', 'ncbitaxon:92052', 'ncbitaxon:428561', 'ncbitaxon:239673', 'ncbitaxon:79188', 'ncbitaxon:84533', 'ncbitaxon:178675', 'ncbitaxon:496698', 'ncbitaxon:642893', 'ncbitaxon:571615', 'ncbitaxon:1585704', 'ncbitaxon:90460', 'ncbitaxon:99500', 'ncbitaxon:71982', 'ncbitaxon:63038', 'ncbitaxon:54719', 'ncbitaxon:491186', 'ncbitaxon:325726', 'ncbitaxon:371367', 'ncbitaxon:371374', 'ncbitaxon:48063', 'ncbitaxon:380077', 'ncbitaxon:223580', 'ncbitaxon:49553', 'ncbitaxon:571641', 'ncbitaxon:40920', 'ncbitaxon:52448', 'ncbitaxon:40916', 'ncbitaxon:344335', 'ncbitaxon:54724', 'ncbitaxon:489403', 'ncbitaxon:491183', 'ncbitaxon:665695', 'ncbitaxon:63635', 'ncbitaxon:662814', 'ncbitaxon:489400', 'ncbitaxon:371382', 'ncbitaxon:371346', 'ncbitaxon:52454', 'ncbitaxon:489399', 'ncbitaxon:59178', 'ncbitaxon:1696065', 'ncbitaxon:489393', 'ncbitaxon:512634', 'ncbitaxon:371369', 'ncbitaxon:54832', 'ncbitaxon:371388', 'ncbitaxon:371332', 'ncbitaxon:40952', 'ncbitaxon:1508160', 'ncbitaxon:90454', 'ncbitaxon:681588', 'ncbitaxon:371329', 'ncbitaxon:542670', 'ncbitaxon:79196', 'ncbitaxon:79184', 'ncbitaxon:555414', 'ncbitaxon:79165', 'ncbitaxon:376867', 'ncbitaxon:1094597', 'ncbitaxon:2831629', 'ncbitaxon:203690', 'ncbitaxon:460996', 'ncbitaxon:386070', 'ncbitaxon:4047', 'ncbitaxon:52471', 'ncbitaxon:584744', 'ncbitaxon:1585705', 'ncbitaxon:325744', 'ncbitaxon:48114', 'ncbitaxon:40962', 'ncbitaxon:4039', 'ncbitaxon:63000', 'ncbitaxon:371339', 'ncbitaxon:1883449', 'ncbitaxon:198846', 'ncbitaxon:48111', 'ncbitaxon:48115', 'ncbitaxon:386051', 'ncbitaxon:325714', 'ncbitaxon:948492', 'ncbitaxon:1707848', 'ncbitaxon:1514027', 'ncbitaxon:199751', 'ncbitaxon:357850', 'ncbitaxon:377473', 'ncbitaxon:49555', 'ncbitaxon:371390', 'ncbitaxon:203712', 'ncbitaxon:1439908', 'ncbitaxon:2502083', 'ncbitaxon:52462', 'ncbitaxon:110318', 'ncbitaxon:48034', 'ncbitaxon:371391', 'ncbitaxon:1502534', 'ncbitaxon:1143247', 'ncbitaxon:512635', 'ncbitaxon:48101', 'ncbitaxon:109086', 'ncbitaxon:2602535', 'ncbitaxon:714446', 'ncbitaxon:380076', 'ncbitaxon:1514025', 'ncbitaxon:239653', 'ncbitaxon:63043', 'ncbitaxon:40922', 'ncbitaxon:46426', 'ncbitaxon:48106', 'ncbitaxon:178660', 'ncbitaxon:312531', 'ncbitaxon:1514045', 'ncbitaxon:109094', 'ncbitaxon:40909', 'ncbitaxon:943326', 'ncbitaxon:109128', 'ncbitaxon:371345', 'ncbitaxon:2042421', 'ncbitaxon:477876', 'ncbitaxon:371378', 'ncbitaxon:203717', 'ncbitaxon:1514014', 'ncbitaxon:40888', 'ncbitaxon:2077173', 'ncbitaxon:1277843', 'ncbitaxon:63642', 'ncbitaxon:99536', 'ncbitaxon:40880', 'ncbitaxon:109084', 'ncbitaxon:82087', 'ncbitaxon:48039', 'ncbitaxon:48105', 'ncbitaxon:359524', 'ncbitaxon:54711', 'ncbitaxon:376873', 'ncbitaxon:515243', 'ncbitaxon:555413', 'ncbitaxon:48117', 'ncbitaxon:63011', 'ncbitaxon:271205', 'ncbitaxon:491195', 'ncbitaxon:1592686', 'ncbitaxon:1522194', 'ncbitaxon:63039', 'ncbitaxon:40869', 'ncbitaxon:371331', 'ncbitaxon:199332', 'ncbitaxon:79158', 'ncbitaxon:155275', 'ncbitaxon:2502068', 'ncbitaxon:48104', 'ncbitaxon:489417', 'ncbitaxon:99501', 'ncbitaxon:408992', 'ncbitaxon:371357', 'ncbitaxon:40902', 'ncbitaxon:325716', 'ncbitaxon:473995', 'ncbitaxon:52469', 'ncbitaxon:681593', 'ncbitaxon:1514030', 'ncbitaxon:52473', 'ncbitaxon:571611', 'ncbitaxon:265806', 'ncbitaxon:380073', 'ncbitaxon:555415', 'ncbitaxon:1585706', 'ncbitaxon:49554', 'ncbitaxon:270183', 'ncbitaxon:225215', 'ncbitaxon:55605', 'ncbitaxon:584762', 'ncbitaxon:380075', 'ncbitaxon:1205795', 'ncbitaxon:325739', 'ncbitaxon:40918', 'ncbitaxon:82093', 'ncbitaxon:1514058', 'ncbitaxon:496675', 'ncbitaxon:371392', 'ncbitaxon:357848', 'ncbitaxon:1605890', 'ncbitaxon:376866', 'ncbitaxon:2502079', 'ncbitaxon:884312', 'ncbitaxon:357845', 'ncbitaxon:107254', 'ncbitaxon:359518', 'ncbitaxon:71981', 'ncbitaxon:1514040', 'ncbitaxon:1202429', 'ncbitaxon:371376', 'ncbitaxon:859224', 'ncbitaxon:2448747', 'ncbitaxon:199748', 'ncbitaxon:2675303', 'ncbitaxon:79200', 'ncbitaxon:2849586', 'ncbitaxon:43069', 'ncbitaxon:669776', 'ncbitaxon:477862', 'ncbitaxon:489421', 'ncbitaxon:1117036', 'ncbitaxon:393502', 'ncbitaxon:90468', 'ncbitaxon:376875', 'ncbitaxon:109147', 'ncbitaxon:46367', 'ncbitaxon:732955', 'ncbitaxon:662809', 'ncbitaxon:571642', 'ncbitaxon:344361', 'ncbitaxon:1331743', 'ncbitaxon:305795', 'ncbitaxon:54828', 'ncbitaxon:52572', 'ncbitaxon:359138', 'ncbitaxon:371375', 'ncbitaxon:109101', 'ncbitaxon:1514057', 'ncbitaxon:63019', 'ncbitaxon:489434', 'ncbitaxon:99506', 'ncbitaxon:48103', 'ncbitaxon:99508', 'ncbitaxon:105274', 'ncbitaxon:512745', 'ncbitaxon:489402', 'ncbitaxon:223585', 'ncbitaxon:40954', 'ncbitaxon:1585698', 'ncbitaxon:241804', 'ncbitaxon:371394', 'ncbitaxon:325745', 'ncbitaxon:571617', 'ncbitaxon:2502070', 'ncbitaxon:52570', 'ncbitaxon:45043', 'ncbitaxon:1514018', 'ncbitaxon:52491', 'ncbitaxon:54829', 'ncbitaxon:371349', 'ncbitaxon:371341', 'ncbitaxon:165499', 'ncbitaxon:1514037', 'ncbitaxon:40926', 'ncbitaxon:2497707', 'ncbitaxon:82085', 'ncbitaxon:178650', 'ncbitaxon:358456', 'ncbitaxon:371362', 'ncbitaxon:178718', 'ncbitaxon:377494', 'ncbitaxon:13447', 'ncbitaxon:271196', 'ncbitaxon:109104', 'ncbitaxon:94007', 'ncbitaxon:109098', 'ncbitaxon:239637', 'ncbitaxon:2497931', 'ncbitaxon:1128155', 'ncbitaxon:1514035', 'ncbitaxon:360603', 'ncbitaxon:371363', 'ncbitaxon:1128160', 'ncbitaxon:92057', 'ncbitaxon:325718', 'ncbitaxon:46401', 'ncbitaxon:4043', 'ncbitaxon:82086', 'ncbitaxon:1053409', 'ncbitaxon:1042414', 'ncbitaxon:408989', 'ncbitaxon:489401', 'ncbitaxon:182415', 'ncbitaxon:40949', 'ncbitaxon:1514050', 'ncbitaxon:1925587', 'ncbitaxon:371334', 'ncbitaxon:359522', 'ncbitaxon:254044', 'ncbitaxon:223577', 'ncbitaxon:377493', 'ncbitaxon:271207', 'ncbitaxon:371347', 'ncbitaxon:271192', 'ncbitaxon:312798', 'ncbitaxon:489418', 'ncbitaxon:359509', 'ncbitaxon:371383', 'ncbitaxon:241803', 'ncbitaxon:225219', 'ncbitaxon:43071', 'ncbitaxon:312801', 'ncbitaxon:1917952', 'ncbitaxon:79179', 'ncbitaxon:49576']
ncbitaxon:35433	62	9	0	2	['ncbitaxon:381413', 'ncbitaxon:336842']
ncbitaxon:37404	4	4	0	1	['ncbitaxon:56921']
ncbitaxon:52986	8	5	0	1	['ncbitaxon:52988']
ncbitaxon:232384	7	0	0	1	['ncbitaxon:4373']
ncbitaxon:37822	68	8	0	12	['ncbitaxon:193486', 'ncbitaxon:230058', 'ncbitaxon:230024', 'ncbitaxon:193484', 'ncbitaxon:86878', 'ncbitaxon:228039', 'ncbitaxon:230023', 'ncbitaxon:37834', 'ncbitaxon:37836', 'ncbitaxon:310862', 'ncbitaxon:86880', 'ncbitaxon:642106']
ncbitaxon:3070	36	1	0	2	['ncbitaxon:163307', 'ncbitaxon:1461600']
ncbitaxon:27254	42	7	1	3	['ncbitaxon:29655', 'ncbitaxon:214525', 'ncbitaxon:55326']
ncbitaxon:90280	2	0	0	1	['ncbitaxon:142771']
