family	# chemicals	# family specific chemicals	# med plants	# plants in fam	plants in fam
ncbitaxon:41615	4	0	0	1	['ncbitaxon:882374']
ncbitaxon:1288172	1	0	0	1	['ncbitaxon:1288173']
ncbitaxon:32096	46	15	0	4	['ncbitaxon:32097', 'ncbitaxon:749682', 'ncbitaxon:449865', 'ncbitaxon:872619']
ncbitaxon:168072	1	0	0	1	['ncbitaxon:428248']
ncbitaxon:264971	47	1	1	1	['ncbitaxon:264972']
ncbitaxon:240058	34	9	2	5	['ncbitaxon:330163', 'ncbitaxon:434246', 'ncbitaxon:2570620', 'ncbitaxon:1072223', 'ncbitaxon:240045']
ncbitaxon:173865	1	0	0	1	['ncbitaxon:173866']
ncbitaxon:189210	13	0	1	1	['ncbitaxon:189211']
ncbitaxon:656665	4	2	0	1	['ncbitaxon:2774153']
ncbitaxon:118934	29	4	2	5	['ncbitaxon:53861', 'ncbitaxon:181253', 'ncbitaxon:172083', 'ncbitaxon:390705', 'ncbitaxon:181251']
ncbitaxon:63790	17	13	0	1	['ncbitaxon:63791']
ncbitaxon:56522	27	7	0	1	['ncbitaxon:56523']
ncbitaxon:178130	17	0	0	1	['ncbitaxon:178131']
ncbitaxon:85195	6	0	0	1	['ncbitaxon:1898824']
ncbitaxon:43488	68	0	2	5	['ncbitaxon:128313', 'ncbitaxon:339301', 'ncbitaxon:336048', 'ncbitaxon:336043', 'ncbitaxon:128314']
ncbitaxon:149634	45	2	0	1	['ncbitaxon:149635']
ncbitaxon:41625	48	1	0	1	['ncbitaxon:128742']
ncbitaxon:240068	6	0	1	2	['ncbitaxon:451948', 'ncbitaxon:1004392']
ncbitaxon:37562	19	0	1	1	['ncbitaxon:240449']
ncbitaxon:46984	119	16	3	5	['ncbitaxon:212759', 'ncbitaxon:1882389', 'ncbitaxon:196574', 'ncbitaxon:113211', 'ncbitaxon:46985']
ncbitaxon:4575	317	81	2	2	['ncbitaxon:4577', 'ncbitaxon:4576']
ncbitaxon:149371	3	2	0	1	['ncbitaxon:1006102']
ncbitaxon:76375	6	0	0	2	['ncbitaxon:1082503', 'ncbitaxon:76376']
ncbitaxon:126634	7	0	1	1	['ncbitaxon:126635']
ncbitaxon:1402220	1	0	0	1	['ncbitaxon:238251']
ncbitaxon:191175	2	0	0	1	['ncbitaxon:191176']
ncbitaxon:4173	487	65	7	46	['ncbitaxon:1483217', 'ncbitaxon:74677', 'ncbitaxon:164258', 'ncbitaxon:74683', 'ncbitaxon:165325', 'ncbitaxon:1193435', 'ncbitaxon:160511', 'ncbitaxon:165327', 'ncbitaxon:207271', 'ncbitaxon:165334', 'ncbitaxon:202613', 'ncbitaxon:165337', 'ncbitaxon:264888', 'ncbitaxon:1461188', 'ncbitaxon:207272', 'ncbitaxon:138560', 'ncbitaxon:124267', 'ncbitaxon:165329', 'ncbitaxon:124272', 'ncbitaxon:487774', 'ncbitaxon:388490', 'ncbitaxon:165330', 'ncbitaxon:195136', 'ncbitaxon:1461746', 'ncbitaxon:124263', 'ncbitaxon:264890', 'ncbitaxon:165331', 'ncbitaxon:996481', 'ncbitaxon:631204', 'ncbitaxon:1483391', 'ncbitaxon:189991', 'ncbitaxon:124262', 'ncbitaxon:1483192', 'ncbitaxon:163752', 'ncbitaxon:165318', 'ncbitaxon:1367250', 'ncbitaxon:165317', 'ncbitaxon:74693', 'ncbitaxon:1461179', 'ncbitaxon:189994', 'ncbitaxon:263966', 'ncbitaxon:165341', 'ncbitaxon:202416', 'ncbitaxon:165342', 'ncbitaxon:202477', 'ncbitaxon:46032']
ncbitaxon:125753	4	0	0	1	['ncbitaxon:1231693']
ncbitaxon:1640971	1	1	1	1	['ncbitaxon:112353']
ncbitaxon:60077	5	0	0	1	['ncbitaxon:271254']
ncbitaxon:4554	11	0	1	2	['ncbitaxon:4555', 'ncbitaxon:2057702']
ncbitaxon:20483	286	16	5	36	['ncbitaxon:390496', 'ncbitaxon:483144', 'ncbitaxon:390493', 'ncbitaxon:283153', 'ncbitaxon:626689', 'ncbitaxon:47643', 'ncbitaxon:626681', 'ncbitaxon:390495', 'ncbitaxon:626695', 'ncbitaxon:20484', 'ncbitaxon:626687', 'ncbitaxon:626678', 'ncbitaxon:1641258', 'ncbitaxon:626683', 'ncbitaxon:390502', 'ncbitaxon:390503', 'ncbitaxon:390501', 'ncbitaxon:626696', 'ncbitaxon:575199', 'ncbitaxon:1913450', 'ncbitaxon:220689', 'ncbitaxon:1641263', 'ncbitaxon:626688', 'ncbitaxon:626672', 'ncbitaxon:626692', 'ncbitaxon:390505', 'ncbitaxon:144173', 'ncbitaxon:626686', 'ncbitaxon:403829', 'ncbitaxon:626682', 'ncbitaxon:626680', 'ncbitaxon:626677', 'ncbitaxon:403832', 'ncbitaxon:390497', 'ncbitaxon:220690', 'ncbitaxon:626690']
ncbitaxon:3452	248	71	4	23	['ncbitaxon:37490', 'ncbitaxon:1857138', 'ncbitaxon:669659', 'ncbitaxon:231663', 'ncbitaxon:231655', 'ncbitaxon:38789', 'ncbitaxon:231662', 'ncbitaxon:487159', 'ncbitaxon:231660', 'ncbitaxon:1857132', 'ncbitaxon:1111103', 'ncbitaxon:231642', 'ncbitaxon:454322', 'ncbitaxon:3454', 'ncbitaxon:231661', 'ncbitaxon:1857144', 'ncbitaxon:748718', 'ncbitaxon:748693', 'ncbitaxon:3453', 'ncbitaxon:174171', 'ncbitaxon:211972', 'ncbitaxon:748703', 'ncbitaxon:1857134']
ncbitaxon:434634	10	0	0	1	['ncbitaxon:434635']
ncbitaxon:49798	25	1	0	2	['ncbitaxon:49799', 'ncbitaxon:194235']
ncbitaxon:457714	4	0	0	1	['ncbitaxon:457715']
ncbitaxon:53012	2	0	0	1	['ncbitaxon:122650']
ncbitaxon:13118	9	2	2	4	['ncbitaxon:883788', 'ncbitaxon:155013', 'ncbitaxon:119974', 'ncbitaxon:1241825']
ncbitaxon:98947	2	0	0	1	['ncbitaxon:213177']
ncbitaxon:3543	102	4	2	4	['ncbitaxon:216016', 'ncbitaxon:359632', 'ncbitaxon:107607', 'ncbitaxon:3544']
ncbitaxon:434688	3	0	0	1	['ncbitaxon:434689']
