fam_name	normalized # of chemicals	proportion of med plants	proportion of specific chemicals	normalized # average chemical
Leucobryaceae	0.0009057424068594892	0.0	0.0	0.024255788313120176
Psilotaceae	0.004709860515669344	0.0	0.012658227848101266	0.25909592061742004
Polygonaceae	0.09383491335064308	0.3829787234042553	0.18135048231511253	0.0342724436416524
Pteridaceae	0.07203671275889137	0.15384615384615385	0.18257956448911222	0.04119364648581848
Commelinaceae	0.005796751403900731	0.3333333333333333	0.05154639175257732	0.03344358691657479
Nartheciaceae	0.00416641507155365	0.5	0.05714285714285714	0.05567805953693495
Pelliaceae	0.002777610047702433	0.0	0.3829787234042553	0.04961411245865491
Pallaviciniaceae	0.0009661252339834551	0.0	0.17647058823529413	0.025909592061742006
Actinidiaceae	0.020349012740776523	0.4666666666666667	0.09763313609467456	0.07232635060639471
Geraniaceae	0.03357285188092506	0.4	0.06822262118491922	0.03873575891216465
Caryocaraceae	0.00863474427872713	0.0	0.5	0.1565600882028666
Dioscoreaceae	0.0467966910210736	0.5652173913043478	0.20489690721649484	0.05359282872345525
Erythroxylaceae	0.010023549302578347	0.06060606060606061	0.5329341317365269	0.014533426881828205
Lunulariaceae	0.0016907191594710464	0.0	0.034482758620689655	0.09371554575523705
Haloragaceae	0.0006642110983636254	0.25	0.08333333333333333	0.007717750826901875
Rhabdodendraceae	0.002354930257834672	0.0	0.1	0.0639470782800441
Cladophoraceae	0.0015699535052231144	0.0	0.18518518518518517	0.012679162072767366
Lamiaceae	0.5569711973914618	0.1924731182795699	0.389159891598916	0.03060426076750721
Convolvulaceae	0.08507940341766801	0.3047619047619048	0.29148936170212764	0.04221137186958577
Pandaceae	0.001086890888231387	0.0	0.15789473684210525	0.02921719955898567
Poaceae	0.11937684922408069	0.43558282208588955	0.26643073811931245	0.03793264385387004
Campanulaceae	0.037739266952478714	0.20967741935483872	0.1805111821086262	0.03119109435572786
Calycanthaceae	0.005615602922528833	0.375	0.26595744680851063	0.03665931642778391
Characeae	0.004891008997041241	0.0	0.024390243902439025	0.03654118758859663
Burseraceae	0.04154338506128857	0.30158730158730157	0.28737300435413643	0.03396860397962934
Frullaniaceae	0.01769216834732202	0.05405405405405406	0.1292517006802721	0.024076998718674573
Linaceae	0.008815892760099028	0.13333333333333333	0.2108843537414966	0.030209481808158772
Clethraceae	0.0015699535052231144	0.5	0.0	0.04244762954796032
Euphorbiaceae	0.2703942998611195	0.2962962962962963	0.3342263898191561	0.040002261611963935
Loganiaceae	0.047400519292313266	0.0847457627118644	0.21501272264631044	0.04185898753573898
Atherospermataceae	0.002354930257834672	0.1	0.15	0.011025358324145536
Nephrolepidaceae	0.0008453595797355232	1.0	0.2	0.0474090407938258
Connaraceae	0.00024153130849586377	0.2	0.4	0.0011025358324145537
Neotrichocoleaceae	0.00036229696274379567	0.0	0.0	0.020948180815876516
Talinaceae	0.00024153130849586377	0.5	0.8	0.006063947078280045
Oleandraceae	0.00048306261699172754	0.0	0.0	0.02756339581036384
Nymphaeaceae	0.007547853390495744	0.5625	0.1746031746031746	0.02384233737596472
Vitaceae	0.0333313205724292	0.5	0.12296564195298372	0.0486034546122749
Altingiaceae	0.00477024334279331	1.0	0.1	0.08599779492833518
Balantiopsidaceae	0.00018114848137189784	0.0	0.5	0.004410143329658215
Scenedesmaceae	0.0015095706780991487	0.2	0.15384615384615385	0.014994487320837928
Nothofagaceae	0.008695127105851096	0.0	0.027586206896551724	0.037761852260198465
Smilacaceae	0.018960207716925304	0.25	0.24761904761904763	0.04120727673649394
Elaeagnaceae	0.02360968540547068	0.38461538461538464	0.11479591836734694	0.09753201594436435
Styracaceae	0.01056699474669404	0.5	0.25	0.05600882028665932
Lecythidaceae	0.007185556427751948	0.5	0.325	0.022601984564498346
Chlamydomonadaceae	0.01606183201497494	0.5	0.0449438202247191	0.4393605292171996
Plantaginaceae	0.12058450576656	0.11764705882352941	0.22922922922922923	0.027698094758215393
Asaraceae	0.012136948251917155	0.12903225806451613	0.13366336633663367	0.019347725575274748
Gyrothyraceae	0.0016907191594710464	0.0	0.034482758620689655	0.09371554575523705
Cupressaceae	0.14479801944327034	0.35	0.2688620258441017	0.0771444321940463
Cynomoriaceae	0.005313688786909003	1.0	0.06741573033707865	0.1449834619625138
Leeaceae	0.0006038282712396595	0.0	0.18181818181818182	0.015986769570011026
Marattiaceae	0.00446832920717348	0.0	0.13333333333333333	0.0474090407938258
Boraginaceae	0.059235553408610586	0.1834862385321101	0.13238289205702647	0.027593740833274333
Buxaceae	0.03538433669464404	0.30434782608695654	0.4752981260647359	0.08221082402569388
Microteaceae	0.00048306261699172754	0.0	0.0	0.02756339581036384
Monocleaceae	0.0009661252339834551	0.0	0.17647058823529413	0.025909592061742006
Zosteraceae	0.0024756959120826034	0.3333333333333333	0.16666666666666666	0.04410143329658214
Cistaceae	0.0193225046796691	0.3684210526315789	0.11526479750778816	0.053676086578076945
Anisophylleaceae	0.00030191413561982973	0.0	0.0	0.017640573318632856
Caulerpaceae	0.008453595797355232	0.15384615384615385	0.3049645390070922	0.033669748112967524
Aphloiaceae	0.00012076565424793189	1.0	0.3333333333333333	0.007717750826901875
Hyacinthaceae	0.04764205060080913	0.20754716981132076	0.27848101265822783	0.04709700235068961
Austrobaileyaceae	0.0028379928748263994	0.0	0.0	0.1565600882028666
Balsaminaceae	0.00760823621761971	0.2	0.3858267716535433	0.03980154355016538
Podostemaceae	0.004649477688545378	0.0	0.0	0.12679162072767367
Dryopteridaceae	0.016967574421834428	0.13636363636363635	0.22695035460992907	0.018993685476596172
Sarcolaenaceae	0.0009661252339834551	0.0	0.17647058823529413	0.016538037486218304
Limnanthaceae	0.0014491878509751827	0.0	0.32	0.03914002205071665
Mamiellaceae	0.0004226797898677616	0.0	0.0	0.024255788313120176
Acanthaceae	0.0804903085562466	0.3372093023255814	0.2856071964017991	0.049101305094741164
Coriariaceae	0.002415313084958638	0.14285714285714285	0.1951219512195122	0.01716805796188376
Pottiaceae	6.038282712396594e-05	0.0	0.0	0.004410143329658215
Pentaphylacaceae	0.004830626169917276	0.375	0.20987654320987653	0.031284454244762956
Aristolochiaceae	0.03037256204335487	0.2727272727272727	0.20634920634920634	0.03568206875814374
Picrodendraceae	0.002596461566330536	0.0	0.13636363636363635	0.022050716648291068
Radulaceae	0.00477024334279331	0.0	0.525	0.021850255587852058
Alseuosmiaceae	0.0	0.0	0.0	0.0011025358324145537
Blechnaceae	0.007970533180363504	0.13333333333333333	0.11278195488721804	0.02712238147739802
Olacaceae	0.001268039369603285	0.0	0.4090909090909091	0.015986769570011026
Cymodoceaceae	0.001147273715355353	0.0	0.35	0.0308710033076075
Salicaceae	0.060080912988346113	0.25	0.22289156626506024	0.032111356119073876
Cactaceae	0.047883581909304994	0.10091743119266056	0.09697732997481108	0.02188887652610178
Aizoaceae	0.0221604975544955	0.47058823529411764	0.043478260869565216	0.06939490239315131
Gentianaceae	0.07650504196606485	0.26174496644295303	0.24132492113564669	0.025942890123794797
Hydnoraceae	0.00012076565424793189	1.0	0.0	0.007717750826901875
Amaryllidaceae	0.14618682446712156	0.21910112359550563	0.2580511973575557	0.04280068877519418
Lophocoleaceae	0.004287180725801582	0.0	0.5277777777777778	0.031816034021105694
Urticaceae	0.018960207716925304	0.18421052631578946	0.12380952380952381	0.025213253641269657
Metteniusaceae	0.001086890888231387	0.3333333333333333	0.5789473684210527	0.018743109151047408
Cannabaceae	0.050963106092627254	0.47058823529411764	0.15621301775147928	0.1622024774628705
Petiveriaceae	0.005132540305537105	1.0	0.20930232558139536	0.1400220507166483
Philydraceae	0.00048306261699172754	0.0	0.1111111111111111	0.02756339581036384
Davalliaceae	0.014974941126743553	0.375	0.024096385542168676	0.10074421168687983
Mystropetalaceae	0.001026508061107421	0.0	0.0	0.05733186328555678
Fontinalaceae	0.00018114848137189784	0.0	0.5	0.004410143329658215
Gymnomitriaceae	0.008876275587222994	0.0	0.32432432432432434	0.06772720113403685
Araucariaceae	0.009359338204214722	0.1875	0.16666666666666666	0.030044101433296586
Neckeraceae	0.00030191413561982973	0.0	0.6666666666666666	0.004410143329658215
Lauraceae	0.17281565122879056	0.15246636771300448	0.2469437652811736	0.04025986225718256
Pontederiaceae	0.0038645009359338203	0.5	0.36923076923076925	0.10529217199558986
Rhizophoraceae	0.029829116599239175	0.42105263157894735	0.301010101010101	0.08396680786862416
Marsileaceae	0.001026508061107421	0.5	0.1111111111111111	0.02756339581036384
Rafflesiaceae	0.0	0.0	0.0	0.0011025358324145537
Araliaceae	0.12638125717046073	0.3465346534653465	0.3787010506208214	0.066370473872084
Tamaricaceae	0.0111708230179337	0.10526315789473684	0.10215053763440861	0.03017466488713515
Celastraceae	0.1356198297204275	0.18548387096774194	0.4129951045838896	0.057731977095707224
Cleomaceae	0.010083932129702313	0.19230769230769232	0.125	0.019167161394283778
Hydrocharitaceae	0.001992633295090876	0.6363636363636364	0.20588235294117646	0.00801844241756039
Pleuroziaceae	0.00018114848137189784	0.0	0.0	0.004410143329658215
Balanophoraceae	0.011291588672181632	0.0	0.14893617021276595	0.07552370452039692
Ebenaceae	0.0471589879838174	0.21518987341772153	0.1432225063938619	0.030536055712949914
Sphagnaceae	0.00030191413561982973	0.0	0.6666666666666666	0.004410143329658215
Aulacomniaceae	0.0017511019865950122	0.0	0.06666666666666667	0.0474090407938258
Nepenthaceae	0.0009661252339834551	0.1111111111111111	0.058823529411764705	0.00404263138552003
